Term,Sunnython,Type
int,Dennis,d
float,Mac,d
string,Charlie,d
boolean,Dee,d
declare,JoinTheGang,f
assign,Milksteak,c
FunctionBegin,DirtGrub,c
FunctionEnd,RonnieTheRat,c
Print,BangTheWaitress,f
+,BrownOut,o
-,CoverYourKneesIfYou'reGonnaBeWalkingAroundHere,o
*,Let'sHuffSomeGlue,o
/,GoToeToToeOnBirdLawAndSeeWhatHappens,o
^,StrapOnMyJobHelmetAndSqueezeDownIntoAJobCannonAndFireOffIntoJobLand,o
%,PayTheTrollToll,o
(,BlastMe,o
),InTheAss,o
>,WadOfHundreds,q
<,MagnumCondoms,q
==,ReadyToPlow,q
>=,WadOfHundredsReadyToPlow,q
<=,MagnumCondomsReadyToPlow,q
If,Dayman,c
Elif,FighterOfTheNightman,c
Else,ChampionOfTheSun,c
\T,LittleGreenGhoul,c
